k,class_weight,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1
1000,none,0.16262531280517578,0.9536006436904921,0.9747574232144159,0.8661971830985915,0.606338028169014,0.7133388566694283,0.6450404554989512,0.9598419540229886,0.990143767600415,0.9747574232144159
1000,balanced,0.25839757919311523,0.9204103526887488,0.9544460221821391,0.5495533815397703,0.9098591549295775,0.6852293821267569,0.8043830158137218,0.9898113507920083,0.921520675855936,0.9544460221821391
1000,w2,0.21215581893920898,0.9574896070805954,0.9765930739127224,0.7972768532526475,0.7422535211267606,0.7687819110138585,0.7526421022564982,0.9730723955267805,0.9801393211797836,0.9765930739127224
1000,w5,0.2054460048675537,0.9449510527021591,0.9690713882087022,0.6607622114868492,0.8669014084507042,0.7499238501370697,0.8159883335542888,0.9855183510842082,0.9531643693493405,0.9690713882087022
1000,w10,0.27850842475891113,0.9212820168968754,0.9549570288520565,0.5524744027303754,0.9119718309859155,0.6880977683315622,0.8069541375872383,0.9900556881463802,0.922261745961168,0.9549570288520565
2000,none,0.17403292655944824,0.9557462786643423,0.9758948137326515,0.8696498054474708,0.6295774647887324,0.7303921568627451,0.6663685152057245,0.9621201209851649,0.9900696605898918,0.9758948137326515
2000,balanced,0.2799367904663086,0.9269143087032319,0.9582727203123804,0.5721784776902887,0.9211267605633803,0.7058823529411765,0.8209892041174994,0.991130820399113,0.9275233437083148,0.9582727203123804
2000,w2,0.20224571228027344,0.9622502346788253,0.9791966892066659,0.8185873605947955,0.7753521126760563,0.796383363471971,0.7836298932384341,0.9764905298842951,0.9819178894323403,0.9791966892066659
2000,w5,0.20385980606079102,0.9509185999731795,0.9724791337694564,0.6900552486187845,0.8795774647887324,0.773374613003096,0.8337783711615487,0.9869505494505495,0.9584259670964873,0.9724791337694564
2000,w10,0.3445858955383301,0.9296634035134773,0.959911338709061,0.5827755466309683,0.9197183098591549,0.713466266047528,0.8243908597399319,0.9910044977511244,0.9307099451608122,0.959911338709061
5000,none,0.21181583404541016,0.9580930669169907,0.9771422301868852,0.8732394366197183,0.6549295774647887,0.7484909456740443,0.6893995552260934,0.9646183839988447,0.9899955535793686,0.9771422301868852
5000,balanced,0.28191208839416504,0.9354297975056993,0.9632568964859399,0.6039108685766258,0.9352112676056338,0.7339043934788616,0.842746541439269,0.9927644514353127,0.9354527938342967,0.9632568964859399
5000,w2,0.27539610862731934,0.9654686871396003,0.9809492102245404,0.8290909090909091,0.8028169014084507,0.815742397137746,0.8079376328844791,0.9793190043577812,0.9825848525270491,0.9809492102245404
5000,w5,0.24224376678466797,0.9575566581735282,0.9762449806732465,0.7234525837592277,0.8971830985915493,0.8010059729644766,0.8560677328316086,0.9888998707519198,0.9639098858752038,0.9762449806732465
5000,w10,0.39601683616638184,0.9387153010594073,0.9652021624914338,0.6181139122315593,0.9323943661971831,0.7434025828186412,0.8463308616722066,0.9924835577826495,0.9393804653920261,0.9652021624914338
10000,none,0.3449568748474121,0.9594340887756471,0.9778591033851785,0.876269621421976,0.6683098591549296,0.7582900519376747,0.70161171077924,0.9659460631913817,0.9900696605898918,0.9778591033851785
10000,balanced,0.4321784973144531,0.9401904251039291,0.9660526716395189,0.6238273921200751,0.9366197183098591,0.7488738738738738,0.8512544802867383,0.9929588483805352,0.9405661775603972,0.9660526716395189
10000,w2,0.35456180572509766,0.9660050958830629,0.9812437571676963,0.831517792302106,0.8063380281690141,0.8187343582409725,0.8112512399036418,0.9796853069365443,0.9828071735586187,0.9812437571676963
10000,w5,0.3523702621459961,0.9593670376827143,0.9772676119738916,0.7325714285714285,0.9028169014084507,0.8088328075709779,0.8627187079407806,0.9895168641750228,0.9653179190751445,0.9772676119738916
10000,w10,0.45818614959716797,0.9433418264717714,0.9679134232010632,0.6386878919440424,0.9323943661971831,0.7580876037789865,0.8538630207661551,0.9925239467331205,0.9444938491181266,0.9679134232010632
