id,rating,text,clean_text,suggested_tags,delivery_shipping,redemption_activation,product_quality,customer_service,refund_return,usability,value_price,fraud_scam,other,notes,annotation_status,annotator,annotated_at
giftcards_0,5.0,Having Amazon money is always good.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_1,5.0,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10,5.0,"My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_100,5.0,Makes great gift.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_1000,5.0,"Love that I didn’t have to wrap it, it came in a decorative tin! Very easy and convenient",,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10000,5.0,It's a gift card.  Not much more I can say about it.  Arrived on time and the theme fit with my sister's graduation.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10001,5.0,This is a great gift.  I have both received and given this.  The gift tin is great and can be used for other purposes.  This is one of the best gift card packaging options Amazon has!,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10002,5.0,"Needed specific gift card quickly. Came next day, correct amount. Design differed, if that matters to you for some reason.",,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10003,5.0,O.K you will get $5 for the first time,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10004,5.0,spend more money at amazon..,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10005,5.0,Need to say more? Easily reload in a couple of minutes.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10006,4.0,"Got this for a Christmas gift for my mom and it worked fine, but when she went to return the item, they wouldn't even give her store credit, saying it shows up she used a $25 coupon instead of an actual gift card. Amazon was quick to refund the money though since not even JCPENNEY headquarters wouldn't even rectify the situation. This is why I love amazon!",,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10007,5.0,Gift card reload super easy and quick!,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10008,5.0,Good ~~,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10009,5.0,"I was a good deal, when it is 10% off!!!",,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_1001,5.0,Always an easy and very quick process.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10010,5.0,Perfect,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10011,5.0,very good,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10012,5.0,just gift card....,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10013,5.0,Excellent,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10014,3.0,Nice way t send a Christmas gift. Only difficulty is no notice is included so the recipient does not know whom it came from.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10015,5.0,Nice gift box,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10016,5.0,So easy to buy. Think of it as a temporary amazon savings account :)<br />Thanks Amazon!,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10017,5.0,Fast shipping and includes a gift box,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10018,1.0,When I loaded the card it went to my account instead of the card. It was supposed to be a gift.,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10019,5.0,good one,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_1002,4.0,great pancakes,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10020,5.0,Reloaded my gift card balance. Simple and easy,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10021,5.0,Mom enjoyed the shopping trip,,,0,0,0,0,0,0,0,0,0,,pending,,
giftcards_10022,5.0,Save some money for the first time. If more that should be better,,,0,0,0,0,0,0,0,0,0,,pending,,
