model_variant,split,threshold_delta,micro_f1,macro_f1,subset_accuracy,hamming_loss
logreg_calibrated,val,-0.1,0.6912375790424571,0.38605336113068783,0.39052631578947367,0.09994152046783626
logreg_calibrated,val,-0.05,0.7020879940343028,0.3904713662808402,0.41210526315789475,0.09345029239766083
logreg_calibrated,val,0.0,0.7822318526543879,0.4217106255268607,0.6389473684210526,0.058771929824561406
logreg_calibrated,val,0.05,0.7971579188631676,0.39757135248054154,0.7010526315789474,0.05175438596491228
logreg_calibrated,val,0.1,0.8008494572911751,0.33262363625471464,0.7278947368421053,0.04935672514619883
logreg_calibrated,test,-0.1,0.6981272019284257,0.37591412584272443,0.4189473684210526,0.0952046783625731
logreg_calibrated,test,-0.05,0.7086749285033365,0.37866369187134225,0.4318421052631579,0.08935672514619883
logreg_calibrated,test,0.0,0.7803271489735426,0.38714525968011393,0.6336842105263157,0.05850877192982456
logreg_calibrated,test,0.05,0.7950167262660053,0.37203891987866666,0.6952631578947368,0.05195906432748538
logreg_calibrated,test,0.1,0.8005215123859192,0.35567613287470495,0.723421052631579,0.049210526315789475
logreg_uncalibrated,val,-0.1,0.7331904112258819,0.4038570842482652,0.5184210526315789,0.08005847953216375
logreg_uncalibrated,val,-0.05,0.7502024291497976,0.4115220664710134,0.5584210526315789,0.07216374269005849
logreg_uncalibrated,val,0.0,0.7683923705722071,0.43004893080301776,0.5994736842105263,0.06461988304093567
logreg_uncalibrated,val,0.05,0.7747826086956522,0.4120560241036777,0.6331578947368421,0.06058479532163743
logreg_uncalibrated,val,0.1,0.7821002923319091,0.3791598419766184,0.6663157894736842,0.056666666666666664
logreg_uncalibrated,test,-0.1,0.742074207420742,0.4051113389879253,0.5426315789473685,0.0754093567251462
logreg_uncalibrated,test,-0.05,0.7594226975391963,0.4078571413371825,0.5794736842105264,0.0677485380116959
logreg_uncalibrated,test,0.0,0.7701186277653094,0.4031729498172438,0.6107894736842105,0.06289473684210527
logreg_uncalibrated,test,0.05,0.779847866828354,0.4045873870134305,0.6434210526315789,0.05839181286549708
logreg_uncalibrated,test,0.1,0.7872025503814186,0.3955321920465925,0.675,0.054649122807017544
blend_lr_svm,val,-0.1,0.6145179462417512,0.34604878418158275,0.27842105263157896,0.14005847953216374
blend_lr_svm,val,-0.05,0.7321818542783403,0.39042447137141534,0.5173684210526316,0.07888888888888888
blend_lr_svm,val,0.0,0.7709760273972602,0.43330552052430454,0.6152631578947368,0.06257309941520468
blend_lr_svm,val,0.05,0.7757631397750746,0.38960687943751043,0.6768421052631579,0.05713450292397661
blend_lr_svm,val,0.1,0.78173828125,0.3604985259115585,0.7178947368421053,0.05228070175438596
blend_lr_svm,test,-0.1,0.6276463262764632,0.34258192460429027,0.305,0.13114035087719297
blend_lr_svm,test,-0.05,0.7411538071580654,0.39015653441620934,0.5371052631578948,0.07464912280701755
blend_lr_svm,test,0.0,0.7681713848508034,0.39113002985325485,0.6255263157894737,0.062017543859649124
blend_lr_svm,test,0.05,0.7811298776936517,0.37752222406276775,0.6855263157894737,0.054941520467836256
blend_lr_svm,test,0.1,0.7793773840285468,0.34831683534196256,0.7139473684210527,0.05242690058479532
