model,split,label,precision,recall,f1,support_true,predicted_positive,frequency_true
ovr_logreg,val,delivery_shipping,0.5360824742268041,0.5306122448979592,0.5333333333333333,98,97,0.05157894736842105
ovr_logreg,val,redemption_activation,0.25,0.45161290322580644,0.3218390804597701,31,56,0.01631578947368421
ovr_logreg,val,product_quality,0.2680851063829787,0.45323741007194246,0.33689839572192515,139,235,0.0731578947368421
ovr_logreg,val,customer_service,0.4,0.3076923076923077,0.34782608695652173,26,20,0.01368421052631579
ovr_logreg,val,refund_return,0.3076923076923077,0.4444444444444444,0.36363636363636365,9,13,0.004736842105263158
ovr_logreg,val,usability,0.32926829268292684,0.627906976744186,0.432,86,164,0.045263157894736845
ovr_logreg,val,value_price,0.25757575757575757,0.2982456140350877,0.2764227642276423,57,66,0.03
ovr_logreg,val,fraud_scam,1.0,0.16666666666666666,0.2857142857142857,18,3,0.009473684210526316
ovr_logreg,val,other,0.8413537810682179,0.9993718592964824,0.9135802469135802,1592,1891,0.8378947368421052
ovr_logreg,test,delivery_shipping,0.4385026737967914,0.44565217391304346,0.4420485175202156,184,187,0.04842105263157895
ovr_logreg,test,redemption_activation,0.25842696629213485,0.4423076923076923,0.3262411347517731,52,89,0.01368421052631579
ovr_logreg,test,product_quality,0.24053452115812918,0.432,0.3090128755364807,250,449,0.06578947368421052
ovr_logreg,test,customer_service,0.23529411764705882,0.27586206896551724,0.25396825396825395,29,34,0.007631578947368421
ovr_logreg,test,refund_return,0.38461538461538464,0.5,0.43478260869565216,20,26,0.005263157894736842
ovr_logreg,test,usability,0.3631123919308357,0.6395939086294417,0.4632352941176471,197,347,0.0518421052631579
ovr_logreg,test,value_price,0.2457627118644068,0.26851851851851855,0.25663716814159293,108,118,0.028421052631578948
ovr_logreg,test,fraud_scam,0.4,0.058823529411764705,0.10256410256410256,34,5,0.008947368421052631
ovr_logreg,test,other,0.8374735729386892,0.9974819011646208,0.9105013647464445,3177,3784,0.8360526315789474
ovr_linearsvm,val,delivery_shipping,0.46153846153846156,0.5510204081632653,0.5023255813953489,98,117,0.05157894736842105
ovr_linearsvm,val,redemption_activation,0.21649484536082475,0.6774193548387096,0.328125,31,97,0.01631578947368421
ovr_linearsvm,val,product_quality,0.26556016597510373,0.460431654676259,0.3368421052631579,139,241,0.0731578947368421
ovr_linearsvm,val,customer_service,0.2619047619047619,0.4230769230769231,0.3235294117647059,26,42,0.01368421052631579
ovr_linearsvm,val,refund_return,0.29411764705882354,0.5555555555555556,0.38461538461538464,9,17,0.004736842105263158
ovr_linearsvm,val,usability,0.3269230769230769,0.5930232558139535,0.4214876033057851,86,156,0.045263157894736845
ovr_linearsvm,val,value_price,0.25217391304347825,0.5087719298245614,0.3372093023255814,57,115,0.03
ovr_linearsvm,val,fraud_scam,0.5714285714285714,0.2222222222222222,0.32,18,7,0.009473684210526316
ovr_linearsvm,val,other,0.8395778364116095,0.9993718592964824,0.9125322626899914,1592,1895,0.8378947368421052
ovr_linearsvm,test,delivery_shipping,0.4080717488789238,0.4945652173913043,0.44717444717444715,184,223,0.04842105263157895
ovr_linearsvm,test,redemption_activation,0.20394736842105263,0.5961538461538461,0.30392156862745096,52,152,0.01368421052631579
ovr_linearsvm,test,product_quality,0.2135306553911205,0.404,0.2793914246196404,250,473,0.06578947368421052
ovr_linearsvm,test,customer_service,0.12162162162162163,0.3103448275862069,0.17475728155339806,29,74,0.007631578947368421
ovr_linearsvm,test,refund_return,0.2857142857142857,0.6,0.3870967741935484,20,42,0.005263157894736842
ovr_linearsvm,test,usability,0.3644578313253012,0.6142131979695431,0.45746691871455575,197,332,0.0518421052631579
ovr_linearsvm,test,value_price,0.24731182795698925,0.42592592592592593,0.3129251700680272,108,186,0.028421052631578948
ovr_linearsvm,test,fraud_scam,1.0,0.14705882352941177,0.2564102564102564,34,5,0.008947368421052631
ovr_linearsvm,test,other,0.8369336143308747,1.0,0.9112290262440843,3177,3796,0.8360526315789474
ovr_blend_lr_svm,val,delivery_shipping,0.46153846153846156,0.5510204081632653,0.5023255813953489,98,117,0.05157894736842105
ovr_blend_lr_svm,val,redemption_activation,0.21649484536082475,0.6774193548387096,0.328125,31,97,0.01631578947368421
ovr_blend_lr_svm,val,product_quality,0.26556016597510373,0.460431654676259,0.3368421052631579,139,241,0.0731578947368421
ovr_blend_lr_svm,val,customer_service,0.29411764705882354,0.38461538461538464,0.3333333333333333,26,34,0.01368421052631579
ovr_blend_lr_svm,val,refund_return,0.3333333333333333,0.5555555555555556,0.4166666666666667,9,15,0.004736842105263158
ovr_blend_lr_svm,val,usability,0.3269230769230769,0.5930232558139535,0.4214876033057851,86,156,0.045263157894736845
ovr_blend_lr_svm,val,value_price,0.2631578947368421,0.5263157894736842,0.3508771929824561,57,114,0.03
ovr_blend_lr_svm,val,fraud_scam,0.8,0.2222222222222222,0.34782608695652173,18,5,0.009473684210526316
ovr_blend_lr_svm,val,other,0.8411016949152542,0.9974874371859297,0.9126436781609195,1592,1888,0.8378947368421052
ovr_blend_lr_svm,test,delivery_shipping,0.4080717488789238,0.4945652173913043,0.44717444717444715,184,223,0.04842105263157895
ovr_blend_lr_svm,test,redemption_activation,0.20394736842105263,0.5961538461538461,0.30392156862745096,52,152,0.01368421052631579
ovr_blend_lr_svm,test,product_quality,0.2135306553911205,0.404,0.2793914246196404,250,473,0.06578947368421052
ovr_blend_lr_svm,test,customer_service,0.14285714285714285,0.27586206896551724,0.18823529411764706,29,56,0.007631578947368421
ovr_blend_lr_svm,test,refund_return,0.2702702702702703,0.5,0.3508771929824561,20,37,0.005263157894736842
