model,feature_strategy,variant,split,k,class_weight,thresholds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0,uncertain_rate_3star,domain_label,train_seconds,notes
logreg,tfidf_full,l2_none,val,full,none,0.40|0.60,0.9617808770282955,0.9791132282887505,0.8801431127012522,0.6929577464788732,0.7754137115839244,0.7237422771403353,0.9683966367062917,0.9900696605898918,0.9791132282887505,0.9762639131017835,0.02373608689821649,0.9057203389830508,0.7307692307692307,0.7601351351351351,0.2692307692307692,,,,Validation grid full TF-IDF
logreg,tfidf_full,l2_balanced,val,full,balanced,0.40|0.60,0.9489741182781279,0.9711993339136359,0.6659949622166247,0.9309859154929577,0.7765051395007342,0.8623613829093281,0.9924201407688142,0.9508670520231214,0.9711993339136359,0.9665415046265254,0.03345849537347456,0.7353951890034365,0.9469026548672567,0.895397489539749,0.05309734513274336,,,,Validation grid full TF-IDF
logreg,tfidf_full,l2_w2,val,full,w2,0.40|0.60,0.9678154753922489,0.982231435551936,0.8371592539454806,0.821830985915493,0.8294243070362474,0.8248515691263782,0.9812869822485207,0.9831777086112347,0.982231435551936,0.9763980152876491,0.023601984712350865,0.8713114754098361,0.855877616747182,0.8589204912734324,0.14412238325281804,,,,Validation grid full TF-IDF
logreg,tfidf_full,l2_w5,val,full,w5,0.40|0.60,0.9630548477940191,0.9793764269940487,0.7569485511531638,0.9014084507042254,0.8228865316618451,0.8682675349342016,0.9894123875066173,0.9695420186749667,0.9793764269940487,0.9748558401501944,0.02514415984980556,0.8020969855832241,0.9223813112283346,0.8955223880597015,0.07761868877166542,,,,Validation grid full TF-IDF
logreg,tfidf_full,l2_w10,val,full,w10,0.40|0.60,0.9540700013410218,0.9741519187955171,0.6927110644992134,0.930281690140845,0.7941088067327923,0.8705680769737709,0.9923887137695088,0.9565732918334074,0.9741519187955171,0.9708998256671584,0.029100174332841622,0.7494158878504673,0.9440765268579838,0.8974538332400671,0.05592347314201619,,,,Validation grid full TF-IDF
logreg,tfidf_full,l2_balanced_best,test,full,balanced,0.40|0.60,0.9516226364489742,0.9727329415543924,0.6793324775353017,0.9316901408450704,0.7857461024498886,0.8672566371681416,0.9925191840512089,0.9537201719282644,0.9727329415543924,0.9668767600911895,0.0331232399088105,0.7387413394919169,0.9498886414253898,0.8985252808988764,0.05011135857461024,,,,Full TF-IDF with best class_weight (train+val fit)
logreg,tfidf_chi2,chi2_l2_none,val,1000,none,0.40|0.60,0.9525948772964999,0.974226240384966,0.8648925281473899,0.5950704225352113,0.7050479766374635,0.6346702718942466,0.9587429145440195,0.9902178746109382,0.974226240384966,0.9732466139198069,0.026753386080193065,0.8950695322376738,0.6172624237140366,0.6581148912437256,0.3827375762859634,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_balanced,val,1000,balanced,0.40|0.60,0.920008046131152,0.9542227850044127,0.5483596080102259,0.9063380281690141,0.6833023626227768,0.8016693658901208,0.9894167263467812,0.9214465688454128,0.9542227850044127,0.9393858119887354,0.060614188011264614,0.6312056737588653,0.9333333333333333,0.8517910855892808,0.06666666666666667,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w2,val,1000,w2,0.40|0.60,0.957623709266461,0.9766738023178564,0.799847792998478,0.7401408450704225,0.7688368690563278,0.7513583071203889,0.9728676470588236,0.9805098562323996,0.9766738023178564,0.9720396942470162,0.027960305752983805,0.836555360281195,0.7752442996742671,0.7867768595041322,0.2247557003257329,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w5,val,1000,w5,0.40|0.60,0.946761432211345,0.9701256678455866,0.6710382513661202,0.8647887323943662,0.7556923076923077,0.8175765645805593,0.9853255885050444,0.9553875796650363,0.9701256678455866,0.9603057529837736,0.03969424701622637,0.7407170294494239,0.8886328725038403,0.8545051698670606,0.11136712749615975,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w10,val,1000,w10,0.40|0.60,0.9227571409413974,0.9558417663293468,0.5577586206896552,0.9112676056338028,0.6919786096256685,0.80875,0.9899952358265841,0.9239662072032014,0.9558417663293468,0.944615797237495,0.055384202762505,0.6342569269521411,0.9319022945965951,0.8519420760590066,0.06809770540340489,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_none,val,2000,none,0.40|0.60,0.9556121764784766,0.9758235337082755,0.8693957115009746,0.6281690140845071,0.7293540474243663,0.6650760512973457,0.9619815668202765,0.9900696605898918,0.9758235337082755,0.9743194314067319,0.02568056859326806,0.8963414634146342,0.6374674761491761,0.6765463917525774,0.36253252385082396,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_balanced,val,2000,balanced,0.40|0.60,0.9281212283760225,0.9589837771655954,0.5765845070422535,0.9225352112676056,0.7096424702058505,0.8236921529175051,0.9912988451194431,0.928709055876686,0.9589837771655954,0.9444146439586966,0.055585356041303435,0.654780361757106,0.9462285287528006,0.86887944040598,0.0537714712471994,,,,Validation grid Chi2 + LR
