model,split,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0
logreg_l2,val,3.07320499420166,0.9533324393187609,0.9737358490566038,0.689727463312369,0.9267605633802817,0.7908653846153846,0.8671586715867159,0.9920036906043365,0.9561286497702682,0.9737358490566038,,,,,,
logreg_l2,test,3.07320499420166,0.9550087166420813,0.9747392990249595,0.7029810298102981,0.9133802816901408,0.7944869831546707,0.8617940199335549,0.9905884153339964,0.9593893582332889,0.9747392990249595,,,,,,
logreg_l2_selective,val,3.07320499420166,,,,,,,,,,0.8834652004827679,0.11653479951723211,0.74822695035461,0.9454817027632562,0.8981271282633371,0.05451829723674384
logreg_l2_selective,test,3.07320499420166,,,,,,,,,,0.8874547405122704,0.11254525948772964,0.7634638922888617,0.9461509290860827,0.9029386218876665,0.05384907091391733
multinomial_nb,val,0.035305023193359375,0.9403915783827277,0.9662298195631529,0.6274603936629861,0.9204225352112676,0.7462175278332858,0.8418137318047146,0.9911932039591614,0.9424929598340003,0.9662298195631529,,,,,,
multinomial_nb,test,0.035305023193359375,0.9413638192302535,0.9668266221573127,0.6332763254336672,0.9126760563380282,0.7477282561661618,0.8386721025043681,0.990363318437925,0.9443826886023418,0.9668266221573127,,,,,,
multinomial_nb_selective,val,0.035305023193359375,,,,,,,,,,0.8997586160654418,0.10024138393455817,0.6470292044310171,0.9365889212827988,0.8596467754883597,0.06341107871720117
multinomial_nb_selective,test,0.035305023193359375,,,,,,,,,,0.9032117473514818,0.0967882526485182,0.6543589743589744,0.9283375773008367,0.8566058002148228,0.07166242269916333
complement_nb,val,0.03124094009399414,0.9051897545929999,0.9449634127354819,0.5011045655375552,0.9584507042253522,0.6581237911025145,0.8105050023820867,0.9951631414986063,0.8995850007410701,0.9449634127354819,,,,,,
complement_nb,test,0.03124094009399414,0.9081735282285102,0.9468248267293095,0.5095157339363106,0.952112676056338,0.663802626733767,0.8111837763244735,0.9944537335345214,0.903549725804061,0.9468248267293095,,,,,,
complement_nb_selective,val,0.03124094009399414,,,,,,,,,,0.8958026015824058,0.10419739841759423,0.5358430116139368,0.9653679653679653,0.8319860713841561,0.03463203463203463
complement_nb_selective,test,0.03124094009399414,,,,,,,,,,0.8998927182513075,0.10010728174869254,0.5450626154793677,0.9630032644178455,0.8349581734700295,0.036996735582154515
perceptron,val,0.38076329231262207,0.9478342496982701,0.9708023718381746,0.6821793416572077,0.8464788732394366,0.7554996857322439,0.8075786079011018,0.9834245742092458,0.9585000741070105,0.9708023718381746,,,,,,
perceptron,test,0.38076329231262207,0.9471637387689419,0.9704736211031175,0.6837209302325581,0.828169014084507,0.7490445859872611,0.7945945945945946,0.9815067454903744,0.9596857862753817,0.9704736211031175,,,,,,
linear_svm,val,3.5485048294067383,0.9642617674668097,0.9801423195857084,0.7830248883216337,0.8640845070422535,0.821560093739538,0.846557196081137,0.9855398216827752,0.9748036164221136,0.9801423195857084,,,,,,
linear_svm,test,3.5485048294067383,0.9638259353627464,0.9799311819957222,0.7885939036381514,0.8471830985915493,0.8168392463079274,0.8347789882728471,0.9837920603503006,0.9761004891062695,0.9799311819957222,,,,,,
sgd_log_loss,val,0.2968418598175049,0.935563899691565,0.9633555767397521,0.6051305542830967,0.930281690140845,0.733277824035526,0.840010174233753,0.9922237059146964,0.9361197569290055,0.9633555767397521,,,,,,
sgd_log_loss,test,0.2968418598175049,0.9379106879442135,0.9647707818147232,0.6163447951012718,0.9214788732394367,0.738639570985041,0.8384595668332693,0.9912829333124853,0.9396398399288572,0.9647707818147232,,,,,,
sgd_log_loss_selective,val,0.2968418598175049,,,,,,,,,,0.8591927048410889,0.1408072951589111,0.6839803171131766,0.9593558282208589,0.8878637331440739,0.040644171779141106
sgd_log_loss_selective,test,0.2968418598175049,,,,,,,,,,0.863483974788789,0.13651602521121098,0.6962380685008422,0.9593810444874274,0.8919579916558769,0.04061895551257253
svd_semantic_logreg,val,0.48358678817749023,0.8991551562290465,0.9415013613380008,0.4844329132690882,0.9204225352112676,0.6347741622146673,0.7800190976366674,0.9907498362802881,0.896917148362235,0.9415013613380008,,,,,,
svd_semantic_logreg,test,0.48358678817749023,0.9052903312323991,0.9452593640397621,0.50143981570359,0.9197183098591549,0.6490247235681451,0.788218963123906,0.9907388602299038,0.9037720468356306,0.9452593640397621,,,,,,
ffnn_mlp_svd,val,23.20837116241455,0.9531312860399624,0.9741999778540582,0.7741444866920152,0.7169014084507043,0.7444241316270567,0.727662616154396,0.9704390028678579,0.9779902178746109,0.9741999778540582,,,,,,
ffnn_mlp_svd,test,23.20837116241455,0.9567520450583344,0.9762089188890118,0.7987663839629915,0.7295774647887324,0.7626058152373942,0.7424394438870575,0.9717999559374312,0.980658070253446,0.9762089188890118,,,,,,
