id,rating,text,clean_text,suggested_tags,delivery_shipping,redemption_activation,product_quality,customer_service,refund_return,usability,value_price,fraud_scam,other,notes,annotation_status,annotator,annotated_at
giftcards_0,5.0,Having Amazon money is always good.,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_1,5.0,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,,,1,0,0,0,0,0,0,0,0,AUTO_RULE_LABELED,reviewed,auto_rule_v1,2026-02-22T02:52:07Z
giftcards_100,5.0,Makes great gift.,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_10000,5.0,It's a gift card.  Not much more I can say about it.  Arrived on time and the theme fit with my sister's graduation.,,,1,0,0,0,0,0,0,0,0,,reviewed,,2026-02-21T02:23:14Z
giftcards_10001,5.0,This is a great gift.  I have both received and given this.  The gift tin is great and can be used for other purposes.  This is one of the best gift card packaging options Amazon has!,,,0,0,0,0,0,0,0,0,1,,reviewed,,2026-02-22T04:18:24Z
giftcards_10002,5.0,"Needed specific gift card quickly. Came next day, correct amount. Design differed, if that matters to you for some reason.",,,1,0,0,0,0,0,0,0,0,,reviewed,,2026-02-21T01:49:47Z
giftcards_10003,5.0,O.K you will get $5 for the first time,,,0,0,0,0,0,0,1,0,0,AUTO_RULE_LABELED,reviewed,auto_rule_v1,2026-02-22T02:52:07Z
giftcards_10004,5.0,spend more money at amazon..,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_10005,5.0,Need to say more? Easily reload in a couple of minutes.,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_10006,4.0,"Got this for a Christmas gift for my mom and it worked fine, but when she went to return the item, they wouldn't even give her store credit, saying it shows up she used a $25 coupon instead of an actual gift card. Amazon was quick to refund the money though since not even JCPENNEY headquarters wouldn't even rectify the situation. This is why I love amazon!",,,0,0,0,0,1,0,0,0,0,AUTO_RULE_LABELED,reviewed,auto_rule_v1,2026-02-22T02:52:07Z
giftcards_10007,5.0,Gift card reload super easy and quick!,,,1,0,0,0,0,0,0,0,0,,pending,,
giftcards_10008,5.0,Good ~~,good,other,0,0,0,0,0,0,0,0,1,AUTO_DRAFT_REVIEW_REQUIRED,reviewed,,2026-02-22T09:08:39Z
giftcards_1001,5.0,Always an easy and very quick process.,,,0,0,0,0,0,1,0,0,0,AUTO_RULE_LABELED,reviewed,auto_rule_v1,2026-02-22T02:52:07Z
giftcards_10011,5.0,very good,,,0,0,0,0,0,0,0,0,1,,reviewed,,2026-02-20T11:31:56Z
giftcards_10012,5.0,just gift card....,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_10013,5.0,Excellent,excellent,other,0,0,0,0,0,0,0,0,1,AUTO_DRAFT_REVIEW_REQUIRED,reviewed,,2026-02-22T08:26:18Z
giftcards_10016,5.0,So easy to buy. Think of it as a temporary amazon savings account :)<br />Thanks Amazon!,,,0,0,0,0,0,0,0,0,1,,pending,,
giftcards_10017,5.0,Fast shipping and includes a gift box,fast shipping and includes a gift box,other,0,0,0,0,0,0,0,0,1,AUTO_DRAFT_REVIEW_REQUIRED,reviewed,,2026-02-22T08:50:56Z
