id,rating,text,clean_text,suggested_tags,delivery_shipping,redemption_activation,product_quality,customer_service,refund_return,usability,value_price,fraud_scam,other,notes
0,5,Having Amazon money is always good.,having amazon money is always good,other,,,,,,,,,,
10000,5,It's a gift card.  Not much more I can say about it.  Arrived on time and the theme fit with my sister's graduation.,it s a gift card not NOT_much NOT_more NOT_i can say about it arrived on time and the theme fit with my sister s graduation,delivery_shipping,,,,,,,,,,
100000,5,Well done!  Very nice package!,well done very nice package,other,,,,,,,,,,
100004,5,Came as described,came as described,other,,,,,,,,,,
10003,5,O.K you will get $5 for the first time,o k you will get 5 for the first time,other,,,,,,,,,,
100033,5,Very easy and quick.,very easy and quick,other,,,,,,,,,,
100036,5,Perfect transaction. Great product. Thank you.Convenient and easy to use,perfect transaction great product thank you convenient and easy to use,other,,,,,,,,,,
100040,5,Great gift,great gift,other,,,,,,,,,,
100047,5,It's a gift card.  Arrived on time,it s a gift card arrived on time,delivery_shipping,,,,,,,,,,
100048,5,Great for online purchases,great for online purchases,other,,,,,,,,,,
10005,5,Need to say more? Easily reload in a couple of minutes.,need to say more easily reload in a couple of minutes,other,,,,,,,,,,
100052,5,Fast & reliable,fast reliable,other,,,,,,,,,,
100089,4,"It's really nice , I like it.",it s really nice i like it,other,,,,,,,,,,
100090,5,Great,great,other,,,,,,,,,,
100094,5,Works good enough,works good enough,other,,,,,,,,,,
100095,4,Good,good,other,,,,,,,,,,
100096,5,Quick and easy as always.,quick and easy as always,other,,,,,,,,,,
100101,5,like i need another reason to spend money at amazon!,like i need another reason to spend money at amazon,other,,,,,,,,,,
100103,5,Giftcards are easy gifts,giftcards are easy gifts,other,,,,,,,,,,
100115,5,Super cute tin at no extra cost! Really nice size and color too. I have a friend who loves anything snowman that is going to love this. I was really surprised no extra fee for the tin as the quality is nice.,super cute tin at no NOT_extra NOT_cost really nice size and color too i have a friend who loves anything snowman that is going to love this i was really surprised no NOT_extra NOT_fee NOT_for the tin as the quality is nice,other,,,,,,,,,,
100122,5,I bought these vouchers as it's my son and daughters in laws favourite place to eat in LA they were really pleased the food is amazing!,i bought these vouchers as it s my son and daughters in laws favourite place to eat in la they were really pleased the food is amazing,other,,,,,,,,,,
100140,5,Very easy and efficient! A delightful experience.,very easy and efficient a delightful experience,other,,,,,,,,,,
100150,5,Great presentation & anybody could use this.,great presentation anybody could use this,other,,,,,,,,,,
100174,5,The reload is very fast and easy to do.,the reload is very fast and easy to do,other,,,,,,,,,,
100176,5,"Great when you don't know what to get that special someone in your life. Easy to order, quick to ship.",great when you don t NOT_know NOT_what NOT_to get that special someone in your life easy to order quick to ship,delivery_shipping,,,,,,,,,,
100186,5,Perfect gift card for any occasion.,perfect gift card for any occasion,other,,,,,,,,,,
100192,5,Great gift,great gift,other,,,,,,,,,,
100193,5,Nice,nice,other,,,,,,,,,,
100195,5,Good deal. Can be used within a minute!,good deal can be used within a minute,other,,,,,,,,,,
10020,5,Reloaded my gift card balance. Simple and easy,reloaded my gift card balance simple and easy,other,,,,,,,,,,
100237,5,Not problem. All very good,not NOT_problem all very good,other,,,,,,,,,,
100238,5,"Always a pleasure to use Amazon reload, its easy.",always a pleasure to use amazon reload its easy,other,,,,,,,,,,
100246,1,I ordered one of these gift cards for my 13 year old son because he wanted to order something of his own choosing and the gift card came without any money on it! It was supposed to be loaded with $25 but doesn't work at all and he never got it replaced.,i ordered one of these gift cards for my 13 year old son because he wanted to order something of his own choosing and the gift card came without any money on it it was supposed to be loaded with 25 but doesn t work at all and he never NOT_got NOT_it NOT_replaced,other,,,,,,,,,,
100252,5,Christmas,christmas,other,,,,,,,,,,
100275,5,THIS WAS A GIFT FOR MY SISTER AND SHE LOVED THE CUPCAKE TIN THE GIFT CARD CAME IN A+,this was a gift for my sister and she loved the cupcake tin the gift card came in a,other,,,,,,,,,,
100279,5,"parents are in Florida, we're in Illinois... perfect gift for birthdays and Christmas",parents are in florida we re in illinois perfect gift for birthdays and christmas,other,,,,,,,,,,
100284,5,Really great that the box card holder is included. The pop up is a nice touch and would have probably costed $5 for something similar in a store.,really great that the box card holder is included the pop up is a nice touch and would have probably costed 5 for something similar in a store,other,,,,,,,,,,
100288,5,Reload is very quick,reload is very quick,other,,,,,,,,,,
100302,3,"I realized I hit this seeing this review request, but can’t recall using these credits",i realized i hit this seeing this review request but can t recall using these credits,other,,,,,,,,,,
100315,3,The gift card is fine itself but be warned it won't work in Mexico. Our friends tried using it at a Bubba Gumps in Puerto Vallarta and the restaurant claimed they won't accept gift cards. Buy carefully if you plan to use this outside the U.S.,the gift card is fine itself but be warned it won t NOT_work NOT_in NOT_mexico our friends tried using it at a bubba gumps in puerto vallarta and the restaurant claimed they won t NOT_accept NOT_gift NOT_cards buy carefully if you plan to use this outside the u s,other,,,,,,,,,,
100316,5,Always the perfect gift!,always the perfect gift,other,,,,,,,,,,
10032,5,thanks Amazon im glad i can use those random visa gift cards on Amazon.,thanks amazon im glad i can use those random visa gift cards on amazon,other,,,,,,,,,,
100321,5,Gave to my daughter in law’s sister,gave to my daughter in law s sister,other,,,,,,,,,,
100322,5,Thanks Pamela Jackson ur the bet mom ever,thanks pamela jackson ur the bet mom ever,other,,,,,,,,,,
100333,5,I bought this as a gift. I much liked the ease of being able to buy this gift card.,i bought this as a gift i much liked the ease of being able to buy this gift card,other,,,,,,,,,,
100339,5,I love AE and when this went on sale I jumped right on it. Who doesn't love a discounted gift card. Check the daily deals section for future gift card discounts. What a great deal!,i love ae and when this went on sale i jumped right on it who doesn t love a discounted gift card check the daily deals section for future gift card discounts what a great deal,other,,,,,,,,,,
100347,1,There was no balance on these gift cards. SCAM!,there was no NOT_balance NOT_on NOT_these gift cards scam,fraud_scam,,,,,,,,,,
100352,1,I was under the impression if i  added $100.00 I would receive $5.00.That never happened,i was under the impression if i added 100 00 i would receive 5 00 that never NOT_happened,other,,,,,,,,,,
100357,5,Gift cards came within 1 day!  Nice patterns!,gift cards came within 1 day nice patterns,other,,,,,,,,,,
10036,5,Fast and affective.,fast and affective,other,,,,,,,,,,
100374,5,Good idea .save me some money,good idea save me some money,other,,,,,,,,,,
100379,5,My daughter loves it and it is very soft....plus nothing beats free :),my daughter loves it and it is very soft plus nothing beats free,other,,,,,,,,,,
10039,1,"I bought this $100.00 Master Card Gift Card for my wife's birthday. She was saving it for vacation, so today she went to use the card and it would not work. Zero balance is showing and she never used the card. The biggest rip off on AMAZON. Never again!",i bought this 100 00 master card gift card for my wife s birthday she was saving it for vacation so today she went to use the card and it would not NOT_work zero balance is showing and she never NOT_used NOT_the NOT_card the biggest rip off on amazon never NOT_again,other,,,,,,,,,,
100391,5,Great!,great,other,,,,,,,,,,
100394,5,Perfect gift,perfect gift,other,,,,,,,,,,
100396,5,Bien,bien,other,,,,,,,,,,
100406,5,Grand daughter liked it. She wants to go shopping.,grand daughter liked it she wants to go shopping,other,,,,,,,,,,
100413,5,Love it,love it,other,,,,,,,,,,
100419,5,good way to save a few dollars up :D,good way to save a few dollars up d,other,,,,,,,,,,
100425,4,"Only good for one visit, more expensive than I thought it would be for 2 people but the sandwich was delish",only good for one visit more expensive than i thought it would be for 2 people but the sandwich was delish,value_price,,,,,,,,,,
100438,4,great gift for anyone,great gift for anyone,other,,,,,,,,,,
100439,4,great gift for anyone that likes this restraunt,great gift for anyone that likes this restraunt,other,,,,,,,,,,
100441,5,Great Christmas gift. Easy and enjoyed by all,great christmas gift easy and enjoyed by all,other,,,,,,,,,,
100449,5,Beautiful! Festive!,beautiful festive,other,,,,,,,,,,
10045,5,Excellent!!,excellent,other,,,,,,,,,,
100455,5,Loved it!,loved it,other,,,,,,,,,,
100457,5,Loved it!,loved it,other,,,,,,,,,,
100460,5,It is after all only card. What's not to like? 😉,it is after all only card what s not NOT_to NOT_like,other,,,,,,,,,,
100469,1,not good,not NOT_good,other,,,,,,,,,,
100472,5,Self explanatory. Gift card for the wife. Win win for sure.,self explanatory gift card for the wife win win for sure,other,,,,,,,,,,
100486,5,nice decorative box,nice decorative box,other,,,,,,,,,,
10049,5,Nice~,nice,other,,,,,,,,,,
100490,5,Comes in handy when they won't except your card,comes in handy when they won t NOT_except NOT_your NOT_card,other,,,,,,,,,,
100498,5,Love Texas Roadhouse🤗,love texas roadhouse,other,,,,,,,,,,
100506,1,You cannot use the code on the card to redeem directly in game. you have to go through Epic Games to redeem it. It is a pain in the rear to redeem! Fair warning here. Just buy Vbucks in the game.,you cannot NOT_use NOT_the NOT_code on the card to redeem directly in game you have to go through epic games to redeem it it is a pain in the rear to redeem fair warning here just buy vbucks in the game,redemption_activation,,,,,,,,,,
100512,5,"The gift card were packed in a beautiful case as shown in picture. Also it was sealed with plastic to avoid any damage to the case. I purchased these for my Kids teachers and they loved it. Seeing the case  , his teacher thought it is a jewelry but it is was gift card. I would recommend this item for any one to purchase.",the gift card were packed in a beautiful case as shown in picture also it was sealed with plastic to avoid any damage to the case i purchased these for my kids teachers and they loved it seeing the case his teacher thought it is a jewelry but it is was gift card i would recommend this item for any one to purchase,other,,,,,,,,,,
100515,5,I put money on for a gift card to buy things.  Was easy to do and in mins it was there.  This has to be the hardest thing to write a review on.  Lol,i put money on for a gift card to buy things was easy to do and in mins it was there this has to be the hardest thing to write a review on lol,other,,,,,,,,,,
100536,5,Good of gifting to all ages.,good of gifting to all ages,other,,,,,,,,,,
100540,5,What else can I say. Simple and easy to use.,what else can i say simple and easy to use,other,,,,,,,,,,
10056,5,The snowflake case was really cute!,the snowflake case was really cute,other,,,,,,,,,,
100562,5,This is a great way to give an Amazon gift card. The box is visually appealing with a nice bow.,this is a great way to give an amazon gift card the box is visually appealing with a nice bow,other,,,,,,,,,,
100564,1,Attempted to use this at Panera and was told it wasn't a valid gift card and that there was a lawsuit between Happy Eats and Panera because they are not authorized or partnered with Panera at all and were using their name on the cards illegally. Thankfully Amazon is refunding us.,attempted to use this at panera and was told it wasn t NOT_a NOT_valid NOT_gift card and that there was a lawsuit between happy eats and panera because they are not NOT_authorized NOT_or NOT_partnered with panera at all and were using their name on the cards illegally thankfully amazon is refunding us,other,,,,,,,,,,
100569,5,the tin case is ADORABLE. perfect for birthdays!,the tin case is adorable perfect for birthdays,other,,,,,,,,,,
100586,1,Can't use to pay for Prime Membership.,can t NOT_use NOT_to NOT_pay for prime membership,other,,,,,,,,,,
100593,5,Great. Reloaded easily and quickly.,great reloaded easily and quickly,other,,,,,,,,,,
100601,5,Variety of gift selection for the receiver,variety of gift selection for the receiver,other,,,,,,,,,,
100616,5,A+++,a,other,,,,,,,,,,
100623,5,Got a bonus. Was Worth it.,got a bonus was worth it,other,,,,,,,,,,
100627,5,Great Gift Option.,great gift option,other,,,,,,,,,,
100636,5,It's a gift card..... good to give to someone who is hard to buy for.,it s a gift card good to give to someone who is hard to buy for,other,,,,,,,,,,
10064,5,There is a learning curve the first time using or purchasing this.,there is a learning curve the first time using or purchasing this,other,,,,,,,,,,
100642,5,Nice toy,nice toy,other,,,,,,,,,,
100655,5,It worked? Not sure what kind of review to leave. Lol.,it worked not NOT_sure NOT_what NOT_kind of review to leave lol,other,,,,,,,,,,
100657,5,bought this off amazon.  card worked,bought this off amazon card worked,other,,,,,,,,,,
10066,5,Good,good,other,,,,,,,,,,
100662,5,The best gift to give to preteens and teenagers. Much easier to give than trying to guess what older kids like.,the best gift to give to preteens and teenagers much easier to give than trying to guess what older kids like,other,,,,,,,,,,
100684,5,A legit gift card no scams,a legit gift card no NOT_scams,other,,,,,,,,,,
100687,5,This made a very nice gift.,this made a very nice gift,other,,,,,,,,,,
100691,5,"Very happy with the 2 cards ordered, they came in the mail quickly and had no issue using them at all.",very happy with the 2 cards ordered they came in the mail quickly and had no NOT_issue NOT_using NOT_them at all,other,,,,,,,,,,
100698,5,The Amazon Kindle Gift Card is really a great idea and quite easy to use. The card is made of high quality material and the delivery lead time was amazing as I received them the following. Amazon your free delivery is simply second to none. I love it and will surely buy this cards again. I will also recommend it to my friends.,the amazon kindle gift card is really a great idea and quite easy to use the card is made of high quality material and the delivery lead time was amazing as i received them the following amazon your free delivery is simply second to none i love it and will surely buy this cards again i will also recommend it to my friends,delivery_shipping,,,,,,,,,,
100722,5,didn't even have to leave the house my gift card came right to me!,didn t NOT_even NOT_have NOT_to leave the house my gift card came right to me,other,,,,,,,,,,
100723,4,So far so good!,so far so good,other,,,,,,,,,,
100735,5,It's cash.,it s cash,other,,,,,,,,,,
100736,5,It's cash.,it s cash,other,,,,,,,,,,
100738,5,The gift box is absolutely simple and beautiful,the gift box is absolutely simple and beautiful,other,,,,,,,,,,
100740,5,"Very speedy delivery, great product, great packaging, great experience!  Thank you!",very speedy delivery great product great packaging great experience thank you,delivery_shipping,,,,,,,,,,
100741,5,good price,good price,other,,,,,,,,,,
100748,5,Great!! Very fast processing reloading,great very fast processing reloading,other,,,,,,,,,,
100752,5,Instant reload Amazon has done a Great job in execution.,instant reload amazon has done a great job in execution,other,,,,,,,,,,
100754,5,Nice...,nice,other,,,,,,,,,,
100768,5,yea,yea,other,,,,,,,,,,
