k,class_weight,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1
1000,none,0.7351610660552979,0.9531983371328953,0.9745422715004741,0.8646464646464647,0.6028169014084507,0.7103734439834025,0.6416791604197901,0.9594943981614479,0.9900696605898918,0.9745422715004741
1000,balanced,1.0912048816680908,0.9198739439452863,0.9541354826328919,0.547811304717382,0.9077464788732394,0.6832759077657037,0.802315448773808,0.989570894037099,0.92115014080332,0.9541354826328919
1000,w2,0.8423347473144531,0.957288453801797,0.9764849200782606,0.7968157695223654,0.7401408450704225,0.7674333698430084,0.7508215459351336,0.9728576682603899,0.9801393211797836,0.9764849200782606
1000,w5,0.8222911357879639,0.9451522059809575,0.9691994879132465,0.6627027027027027,0.8633802816901408,0.7498470948012232,0.8140770252324038,0.9851500306184936,0.953757225433526,0.9691994879132465
1000,w10,1.2633380889892578,0.9218184256403379,0.9552879822072244,0.5545064377682404,0.9098591549295775,0.6890666666666667,0.8064918851435705,0.9898283534647171,0.9230769230769231,0.9552879822072244
2000,none,0.8143045902252197,0.955478074292611,0.9757593457943925,0.8720472440944882,0.6239436619718309,0.7274220032840722,0.6615890083632019,0.9615772053532883,0.9903660886319846,0.9757593457943925
2000,balanced,1.2168231010437012,0.9277859729113584,0.9587940467536442,0.5755173932188463,0.9204225352112676,0.708209157409916,0.8219091938120991,0.9910622478842047,0.9285608418556396,0.9587940467536442
2000,w2,0.953467607498169,0.9615797237494971,0.9788303099715521,0.8158090976882924,0.7704225352112676,0.7924664976457805,0.7790912975359635,0.9759817284314448,0.9816955684007708,0.9788303099715521
2000,w5,0.9124405384063721,0.950382191229717,0.972169988717563,0.687018701870187,0.8795774647887324,0.7714638665843113,0.832888770338757,0.9869425778863775,0.9578331110123017,0.972169988717563
2000,w10,1.3674771785736084,0.9299986589781414,0.9601069927397784,0.5840035746201966,0.9204225352112676,0.7145981410606889,0.8253346804748674,0.9910855159356263,0.931006373202905,0.9601069927397784
5000,none,0.965266227722168,0.9579589647311251,0.9770757924755951,0.8751182592242195,0.6514084507042254,0.7468712151796528,0.6865073474840433,0.9642779822472397,0.9902178746109382,0.9770757924755951
5000,balanced,1.5505943298339844,0.9358321040632962,0.9634941827198169,0.605563155494756,0.9352112676056338,0.7351231663437586,0.843388797154833,0.9927678641616225,0.9358974358974359,0.9634941827198169
5000,w2,1.1970629692077637,0.9644629207456081,0.9803950580750167,0.8238719068413392,0.7971830985915493,0.8103078024337866,0.8023816274454211,0.9787296898079764,0.9820661034533867,0.9803950580750167
5000,w5,1.2599766254425049,0.9575566581735282,0.9762414142551514,0.7229461756373937,0.8985915492957747,0.8012558869701727,0.8569509738079247,0.9890485968514716,0.9637616718541574,0.9762414142551514
5000,w10,1.7273573875427246,0.938447096687676,0.9650472129150167,0.617070895522388,0.9316901408450704,0.7424242424242424,0.8454754601226994,0.9924040720438527,0.9391581443604565,0.9650472129150167
10000,none,1.1231944561004639,0.9592329354968486,0.9777501280831442,0.8752310536044362,0.6669014084507042,0.7569944044764189,0.7002366163856847,0.9658039329091961,0.9899955535793686,0.9777501280831442
10000,balanced,1.8456499576568604,0.9395869652675338,0.965701016407172,0.6213183730715287,0.9359154929577465,0.7468389997190222,0.8498529223685893,0.9928767123287672,0.9399733214762116,0.965701016407172
10000,w2,1.320969820022583,0.9661391980689286,0.9813191284726076,0.8327272727272728,0.8063380281690141,0.8193202146690519,0.8114812189936216,0.9796883078513923,0.982955387579665,0.9813191284726076
10000,w5,1.338838815689087,0.9586294756604533,0.9768454234998312,0.7279954571266326,0.9028169014084507,0.8060358377868595,0.8614433543878511,0.9895080970120885,0.9645027419593893,0.9768454234998312
10000,w10,2.1756765842437744,0.9424031111707121,0.9673743780622127,0.6349206349206349,0.9295774647887324,0.7545012860817376,0.8506250805516175,0.9922088040514219,0.9437527790128947,0.9673743780622127
