model,class_weight,k,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1
decision_tree,none,10000,0.9367708193643557,0.9652003837921618,0.6820610687022901,0.629225352112676,0.6545787545787546,0.6391273247496424,0.961298147603646,0.9691344301170891,0.9652003837921618
decision_tree,balanced,10000,0.9200750972240848,0.955723943243444,0.5767160161507402,0.6035211267605634,0.5898141775636614,0.597962601172202,0.9580726839439976,0.9533866903809101,0.955723943243444
decision_tree,w2,10000,0.9317084618479281,0.9623077919434524,0.6447890371438875,0.6295774647887324,0.6370924639230358,0.6325620887285077,0.9611162446867492,0.9635022973173262,0.9623077919434524
decision_tree,w5,10000,0.9279200750972241,0.9600742804085423,0.6163182737693864,0.643661971830986,0.6296934205993799,0.6380008376378612,0.9623259623259623,0.9578331110123017,0.9600742804085423
decision_tree,w10,10000,0.9185664476330965,0.9548336711355734,0.5676654593348699,0.6070422535211267,0.5866938914412115,0.5987358477460583,0.9583442200739054,0.9513487475915221,0.9548336711355734
random_forest,none,10000,0.9460573957355505,0.97089731763344,0.9025506867233486,0.4859154929577465,0.6317235065232318,0.5353402125843743,0.9484080709565709,0.9944790277160219,0.97089731763344
random_forest,balanced,10000,0.9412632425908543,0.9683480271715565,0.8715846994535519,0.44929577464788734,0.5929368029739777,0.49750467872738613,0.9448596812861374,0.9930339410108197,0.9683480271715565
random_forest,w2,10000,0.9431741987394394,0.96938830795904,0.8961937716262975,0.45598591549295775,0.6044340723453909,0.5056618508395159,0.9455660078215833,0.9944419742107603,0.96938830795904
random_forest,w5,10000,0.9409615126726566,0.9682261876838136,0.8872936109117013,0.4352112676056338,0.5839829907866761,0.48459186073864974,0.9435906453314578,0.9941825996739292,0.9682261876838136
random_forest,w10,10000,0.9415314469625855,0.9684880023128072,0.8722826086956522,0.45211267605633804,0.5955473098330241,0.5003117206982544,0.9451262519396247,0.9930339410108197,0.9684880023128072
