model,split,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0
logreg_l2,val,3.0410754680633545,0.9521925707389031,0.9731156442064779,0.6873343932167462,0.9133802816901408,0.7843967342001814,0.8570107043742566,0.9905580716972442,0.9562768637913147,0.9731156442064779,,,,,,
logreg_l2,test,3.0410754680633545,0.9539694247016226,0.9741621031634017,0.6994832744084851,0.9056338028169014,0.789320239373945,0.8552237813393629,0.9897518259339987,0.9590558766859345,0.9741621031634017,,,,,,
logreg_l2_selective,val,3.0410754680633545,,,,,,,,,,0.8789057261633365,0.12109427383666349,0.7489361702127659,0.9383092155369384,0.8931419457735247,0.06169078446306169
logreg_l2_selective,test,3.0410754680633545,,,,,,,,,,0.8833310982969023,0.11666890170309774,0.7591331269349845,0.9316109422492401,0.8911178950428842,0.06838905775075987
multinomial_nb,val,0.052168846130371094,0.944615797237495,0.9687736277030092,0.651840490797546,0.897887323943662,0.7553317535545023,0.8348611838658984,0.9888100015434481,0.9495331258337039,0.9687736277030092,,,,,,
multinomial_nb,test,0.052168846130371094,0.9466273300254794,0.9699520591899136,0.662754303599374,0.8947183098591549,0.7614623913694936,0.8361853363169672,0.9884973455412788,0.9520898176967542,0.9699520591899136,,,,,,
multinomial_nb_selective,val,0.052168846130371094,,,,,,,,,,0.9004291269947701,0.09957087300522993,0.6731078904991948,0.9153284671532846,0.8538744382405011,0.08467153284671533
multinomial_nb_selective,test,0.052168846130371094,,,,,,,,,,0.9029435429797505,0.09705645702024945,0.6848751029371397,0.9105839416058394,0.854276518523591,0.08941605839416059
complement_nb,val,0.05446147918701172,0.9113584551428189,0.9487716035030613,0.5188316679477325,0.9507042253521126,0.6713078070611636,0.8150205264428881,0.994314489928525,0.9072180228249592,0.9487716035030613,,,,,,
complement_nb,test,0.05446147918701172,0.9151468418935229,0.9511191795901813,0.5306730196545563,0.9411971830985916,0.6786847784689602,0.8150881258766848,0.9932636844015974,0.912405513561583,0.9511191795901813,,,,,,
complement_nb_selective,val,0.05446147918701172,,,,,,,,,,0.8963390103258683,0.10366098967413173,0.5581688366232676,0.9595667870036101,0.8389092286327484,0.04043321299638989
complement_nb_selective,test,0.05446147918701172,,,,,,,,,,0.9001944481695051,0.09980555183049489,0.5676553366529552,0.9517241379310345,0.838288893151736,0.04827586206896552
perceptron,val,0.6293997764587402,0.9486388628134639,0.9712138293874484,0.681868743047831,0.8633802816901408,0.761963952765693,0.8197378978336454,0.9852089051540104,0.9576107899807321,0.9712138293874484,,,,,,
perceptron,test,0.6293997764587402,0.9482700818023334,0.9710663991449305,0.6859764840837396,0.8422535211267606,0.7561245455982298,0.805549942749377,0.9829922933829391,0.9594264117385505,0.9710663991449305,,,,,,
linear_svm,val,4.27208137512207,0.9645970229314738,0.9803775828749814,0.7973333333333333,0.8422535211267606,0.8191780821917808,0.8328690807799443,0.9833010287759057,0.9774714688009486,0.9803775828749814,,,,,,
linear_svm,test,4.27208137512207,0.9633901032586831,0.9797229546551788,0.7950708980418636,0.829225352112676,0.811789038262668,0.8221617092584834,0.9819474428645872,0.9775085223062102,0.9797229546551788,,,,,,
sgd_log_loss,val,0.34023571014404297,0.9373072281078182,0.9643985835586186,0.6130536130536131,0.926056338028169,0.7377279102384292,0.8402555910543131,0.9917769598245751,0.9384911812657477,0.9643985835586186,,,,,,
sgd_log_loss,test,0.34023571014404297,0.9379777390371463,0.9648342457420924,0.6176330798479087,0.9151408450704225,0.7375141884222475,0.8347250770811921,0.9905932864949258,0.9403809100340892,0.9648342457420924,,,,,,
sgd_log_loss_selective,val,0.34023571014404297,,,,,,,,,,0.8603325734209467,0.1396674265790533,0.6919642857142857,0.9538461538461539,0.8867276887871853,0.046153846153846156
sgd_log_loss_selective,test,0.34023571014404297,,,,,,,,,,0.8653614053909079,0.1346385946090921,0.7020187659937447,0.9507123604158645,0.8878101402373247,0.04928763958413554
svd_semantic_logreg,val,0.19008421897888184,0.9013678422958294,0.9428804411136567,0.4903954802259887,0.9169014084507042,0.6390184049079755,0.7810437912417516,0.9903744187943552,0.8997332147621165,0.9428804411136567,,,,,,
svd_semantic_logreg,test,0.19008421897888184,0.9064637253587233,0.9460264644432408,0.5048790007806401,0.9109154929577464,0.6496735308890005,0.7847003154574133,0.989758743523316,0.9059952571513266,0.9460264644432408,,,,,,
ffnn_mlp_svd,val,14.405674934387207,0.9527960305752984,0.9739991136061457,0.7687687687687688,0.7211267605633803,0.7441860465116279,0.7301768397033657,0.9708437638050361,0.9771750407588558,0.9739991136061457,,,,,,
ffnn_mlp_svd,test,14.405674934387207,0.9557127531178758,0.9756502184291533,0.7961013645224172,0.7190140845070423,0.7555966697502313,0.733213644524237,0.9707295602098082,0.9806210167481844,0.9756502184291533,,,,,,
